id,type,location,price,popularity,duration_hours
E001,Tech,Delhi,514,827,5
E002,Comedy,Bangalore,844,176,4
E003,Tech,Delhi,501,846,1
E004,Music,Bangalore,412,194,1
E005,Workshop,Bangalore,391,723,1
E006,Comedy,Mumbai,668,171,2
E007,Workshop,Chennai,890,152,4
E008,Sports,Hyderabad,590,582,3
E009,Music,Chennai,889,422,5
E010,Sports,Chennai,132,815,3
E011,Sports,Delhi,572,687,5
E012,Workshop,Mumbai,850,221,5
E013,Music,Bangalore,424,392,4
E014,Sports,Mumbai,740,375,1
E015,Tech,Mumbai,290,801,4
E016,Tech,Mumbai,460,793,3
E017,Tech,Mumbai,291,928,1
E018,Sports,Hyderabad,309,289,1
E019,Workshop,Hyderabad,305,404,2
E020,Sports,Delhi,326,519,1
E021,Tech,Mumbai,913,935,1
E022,Tech,Delhi,250,453,4
E023,Workshop,Delhi,169,904,1
E024,Music,Hyderabad,853,852,4
E025,Comedy,Bangalore,867,964,5
P001,Villa,Mumbai,11568,492,67
P002,Studio,Delhi,14398,295,20
P003,Penthouse,Hyderabad,13209,187,60
P004,Penthouse,Bangalore,14774,155,69
P005,Villa,Mumbai,23482,346,33
P006,Penthouse,Delhi,5273,195,31
P007,Studio,Hyderabad,5159,87,68
P008,Bungalow,Bangalore,18291,210,64
P009,Penthouse,Chennai,11794,165,47
P010,Bungalow,Hyderabad,11246,377,48
P011,Penthouse,Chennai,8941,440,35
P012,Bungalow,Hyderabad,11979,89,72
P013,Penthouse,Chennai,13459,112,41
P014,Penthouse,Delhi,17244,472,46
P015,Bungalow,Hyderabad,14019,266,56
P016,Penthouse,Bangalore,9145,50,58
P017,Studio,Hyderabad,19163,113,69
P018,Studio,Chennai,16741,383,53
P019,Studio,Delhi,16797,172,31
P020,Villa,Delhi,16400,279,26
P021,Apartment,Mumbai,9622,250,27
P022,Villa,Bangalore,24097,268,72
P023,Apartment,Delhi,12843,265,10
P024,Bungalow,Delhi,5978,326,62
P025,Studio,Hyderabad,21572,213,26
